year,speaker,village,language_family,gender,education,year_of_birth,position,head_lexical_class,head_length,head,gen_lexical_class,gen_referentiality,gen_individuation,gen_length,givenness,gen,line
1920,1920_Khiv,Khiv,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,начало,non_human,definite,non_sg,one-word,hnew_ggiven,войны,В сорок первом году . . . до войны \ начала войны…
1920,1920_Khiv,Khiv,Nakh-Daghestanian,m,lower,<1950,left,kinship,one-word,сестра,kinship,definite,sg,one-word,hnew_ggiven,Матери,Матери сестра Салимат .
1920,1920_Khiv,Khiv,Nakh-Daghestanian,m,lower,<1950,right,kinship,one-word,отец,proper_human,definite,sg,one-word,hnew_ggiven,Талиба,Это отец Талиба Абдул Азиз .
1930,1930_Balkhar,Balkhar,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,multi-word,часть,non_human,definite,sg,one-word,hnew_ggiven,селения,Вот эта высокая верхняя часть селения .
1933,1933_Khiv,Khiv,Nakh-Daghestanian,f,lower,<1950,left,kinship,multi-word,сын,kinship,definite,sg,one-word,other,брата,Ещё . . . Ещё одну я знаю сестрина дочь брата же… сын женил .
1936,1936_Mehweb,Mehweb,Nakh-Daghestanian,f,higher,<1950,right,non_kinship,one-word,села,non_human,definite,sg,multi-word,other,района,Раньше покупали там . Раньше тоже же в села Гунибского района тоже ходили .
1936,1936_Mehweb,Mehweb,Nakh-Daghestanian,f,higher,<1950,right,kinship,one-word,дочка,proper_human,definite,sg,multi-word,other,героя Гамзатова Магомеда,А в пед . институте тоже была дочка этого героя Гамзатова Магомеда .
1936,1936_Shangoda,Shangoda,Nakh-Daghestanian,m,higher,<1950,left,kinship,one-word,мать,kinship,definite,sg,one-word,hnew_ggiven,отца,Отца… отца мать была она была здесь а дедушки я не помню .
1936,1936_Shangoda,Shangoda,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,муфтий,non_human,definite,sg,multi-word,other,мукарского наибства,Дедушка был тоже он работал… при имаме Шамиле муфтием мукарского наибства был он здесь муфтием был
1936,1936_Shangoda,Shangoda,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,педучилище,non_human,definite,sg,one-word,other,Гуниба,Она окончила в пятьдесят пятом году педучилище Гуниба .
1936,1936_Shangoda,Shangoda,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,multi-word,село Кумуха,non_human,definite,sg,multi-word,other,района,Из селе Кумуха Лакского района .
1936,1936_Shangoda,Shangoda,Nakh-Daghestanian,m,higher,<1950,right,kinship,one-word,мать,kinship,definite,sg,one-word,hnew_ggiven,матери,Почему ? Она… Матерь матери была лачка
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,глава,non_human,definite,sg,one-word,other,администрации,Глава администрации девяносто четвертом году был .
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,глава,non_human,definite,sg,one-word,other,администрации,Один год глава администрации Дурангах .
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,глава,non_human,definite,sg,one-word,other,администрации,Сейчас вот этот начали при мне когда я был глава администрации раздали вот это планы .
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,обком,non_human,definite,non_sg,one-word,other,комсомола,Секретарь обком комсомола был от Дуранги .
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,multi-word,село,non_human,definite,sg,multi-word,other,района,Аварское село Гергебильского района недалеко от Леваши .
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,multi-word,село Дуранги,non_human,definite,sg,multi-word,other,района,Село Дуранги Буйнакского района .
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,сельсовет,non_human,definite,sg,one-word,hnew_ggiven,Апши,Апши вот это Апши от Арыхкента Апши сельсовет Апши .
1937,1937_Durangi,Durangi,Nakh-Daghestanian,m,lower,<1950,left,non_kinship,one-word,земли,non_human,definite,sg,one-word,other,Апши,Апши земли - горы большие . Горы большие .
1937,1937_Jangikent,Jangikent,Turkic,m,higher,<1950,left,kinship,one-word,отец,kinship,definite,sg,one-word,hnew_ggiven,мужа,"Её мужа \ отец, мужа ."
1937,1937_Jangikent,Jangikent,Turkic,m,higher,<1950,right,non_kinship,one-word,девочки,non_human,definite,non_sg,multi-word,other,возраста,Старинные обычаи были когда по каким - то видам девочек этот ну грудном возраста отдавали своим кунакам .
1937,1937_Jangikent,Jangikent,Turkic,m,higher,<1950,right,non_kinship,multi-word,законы,non_human,definite,non_sg,one-word,other,ислама,Вот такие законы были ислама вот неправильные .
1937,1937_Jangikent,Jangikent,Turkic,m,higher,<1950,right,non_kinship,one-word,основа,non_human,definite,non_sg,multi-word,hnew_ggiven,корана-ислама,Мечети обучали ну этот… Основу корана ислама…
1937,1937_Jangikent,Jangikent,Turkic,m,higher,<1950,right,non_kinship,multi-word,свидетельство,non_human,definite,non_sg,multi-word,other,рождения,Мне дали моё когда я в школу ходил [ нрзб ] вот это свидетельство твоего рождения .
1937,1937_Jangikent,Jangikent,Turkic,m,higher,<1950,left,non_kinship,one-word,гости,kinship,definite,sg,multi-word,other,отца,Моего отца гости были они Гудун .
1938,1938_Dubek,Dubek,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,здание,non_human,definite,sg,one-word,other,школы,Здание школы они
1938,1938_Dubek,Dubek,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,Маджалис,non_human,definite,sg,multi-word,other,района,Центр у них Маджалисе Кайтагского района с =
1938,1938_Dubek,Dubek,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,one-word,other,колхоза,И председатель колхоза уже всё время приходил .
1938,1938_Dubek,Dubek,Nakh-Daghestanian,m,lower,<1950,right,non_kinship,multi-word,сторона,non_human,definite,sg,one-word,other,речки,удивляли они все равно на той стороне речки стояли посмотрели .
1938,1938_Dubek,Dubek,Nakh-Daghestanian,m,lower,<1950,left,non_kinship,one-word,селения,non_human,definite,sg,multi-word,hnew_ggiven,Левашинского района,Левашинского района селения Цудахари
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,left,kinship,one-word,мать,proper_human,definite,sg,one-word,hnew_ggiven,Абдулы,Эти партийцы . . . Эта . . . а там она умерла из Хилиха была долгое время женщина председателем сельсовета она работала. Двое это Абдулы мать тоже работала председателем сельсовета есть же наш глава местной администрации ее мать тоже работала одно время
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,left,kinship,one-word,родственник,human_other,definite,sg,one-word,other,председателя,Директор он был . Родственник это председателя исполкома двоюродный брат . И вот так было .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,бухгалтер,non_human,definite,sg,one-word,other,колхоза,Двое там например . Из Арчуниба учился Кана Магомед его звали он бухгалтером стал он Хасавюрте учился он тоже Кумухе был они Кумухе жили . Он стал бухгалтером колхоза . Еще кто ?
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,Бухтиб,non_human,definite,sg,multi-word,other,района,Аварские были с Бухтиба Гунибского района Хадижат Магомедовна . . .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,multi-word,введение,non_human,definite,sg,one-word,other,учебника,И с самого начала с самого введения учебника она начала и значит вторую четверть я получил тройку твердую тройку .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,multi-word,глава,non_human,definite,sg,multi-word,other,администрации,наш глава местной администрации ее мать тоже работала одно время
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,multi-word,годы,non_human,definite,non_sg,one-word,hnew_ggiven,установления,Он светское образование как раз в период советской власти вот когда вот это в Дагестане первые годы установления советской власти тогда он учительские курсы окончил и так стал он .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,дом,kinship,definite,sg,multi-word,hnew_ggiven,сына,Он умер . Его сын вот здесь стоит дом его сына .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,конец,non_human,definite,non_sg,multi-word,hnew_ggiven,учебного года,С ними я и ходил выпивал сидел отношения очень хорошие были со мной . И в конце учебного года июне месяце оказывается они с этим Сулейманом поссорились особенно с директором нехорошие отношения у него были он постоянно жаловался на него .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,нормы,non_human,definite,non_sg,one-word,other,шариата,Раньше до советской власти конечно религия очень широко была распространена и очень крепко держались соблюдали нормы шариата и все и много было конечно ученых людей тоже арабистов .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,период,non_human,definite,non_sg,multi-word,other,власти,Он светское образование как раз в период советской власти
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,one-word,other,исполкома,Директор он был . Родственник это председателя исполкома двоюродный брат . И вот так было .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,one-word,other,райисполкома,И вот приехала милиция и там я же говорил там председателя райисполкома был из касрадинский родной человек директора и он назло двоих их тоже осудили и нас тоже это Сулеймана дядя и я меня тоже . По 8 месяцев нам дали . И 4 месяца мы посидели потом нас верховныый суд освободил .
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,kinship,one-word,мать,kinship,definite,sg,multi-word,hnew_ggiven,отца,Да интересно ее можно спросить . У них лакский вот такой . . . Лачка была мать его отца . Таак . . . Попросить ее сюда ?
1940,1940_Archib,Archib,Nakh-Daghestanian,m,higher,<1950,right,kinship,multi-word,родной человек,human_other,definite,sg,one-word,hnew_ggiven,директора,И вот приехала милиция и там я же говорил там председателя райисполкома был из касрадинский родной человек директора.
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,left,kinship,one-word,жена,human_other,definite,sg,multi-word,other,председателя,Нашего председателя колхоза жена была цудахарка .
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,конец,non_human,definite,non_sg,multi-word,other,годов,У нас в пятидесятых или в конце сороковых годов он женилс на русской учительнице у них дочка тоже была и всё .
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,правление,non_human,definite,sg,one-word,other,колхоза,Член правления колхоза .
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,multi-word,председатель,non_human,definite,sg,one-word,other,колхоза,Нашего председателя колхоза жена была цудахарка .
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,one-word,other,колхоза,Овец там держать . Председатель колхоза говорит старался чтобы его не отправили на фронт .
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,one-word,other,колхоза,Председатель колхоза тогда же это надо было здесь тоже старшим чабаном был .
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,one-word,other,Райпо нашего района,Ну я вот в этот исполком заявление написал председатель Райпо нашего района - Аджихан Бекегинец
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,multi-word,other,совета,И здесь председателем сельского совета нашего селения а что сейчас говорить недавно умер .
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,multi-word,other,участка,бывал просто постоянно председателем участка избирательной комиссии
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,Райпо,non_human,definite,sg,multi-word,other,района,Ну я вот в этот исполком заявление написал председатель Райпо нашего района - Аджихан Бекегинец
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,участок,non_human,definite,sg,multi-word,other,комиссии,бывал просто постоянно председателем участка избирательной комиссии
1940,1940_Tsukhta,Tsukhta,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,член,non_human,definite,sg,multi-word,other,правления,Член правления колхоза .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,left,kinship,one-word,братья,kinship,definite,sg,one-word,hnew_ggiven,отца,Я слышала про этих рассказах этих моей матери там что у меня было двое дяди этот брата… отца братья.
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,left,kinship,one-word,мама,kinship,definite,sg,multi-word,hnew_ggiven,мамы,Моей мамы мама - нет они долго не жили .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,left,kinship,multi-word,сын,kinship,definite,sg,one-word,hnew_ggiven,деда,Тридцать девятых деда вот его сына старшего брата моего отца репрессировали.
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,left,kinship,one-word,тетя,kinship,definite,sg,multi-word,hnew_ggiven,мамы,И вот так она самая младшая была это моей мамина это мамина тётя моей мамы тётя была его жена .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,right,non_kinship,one-word,берег,non_human,definite,sg,multi-word,other,Каспийского моря,Вот это его территория начиная Дербента вот берег Каспийского моря до это [ нрзб ] есть же вот гора Чумли как этот - все эта территория была его территория .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,right,non_kinship,one-word,династия,human_other,definite,non_sg,one-word,hnew_ggiven,учителей,Всё у нас здесь династия учителей .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,right,non_kinship,one-word,история,non_human,definite,non_sg,multi-word,other,болезни,История болезни нашей очень интересная .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,right,non_kinship,multi-word,села,non_human,definite,sg,multi-word,hnew_ggiven,района,Да по - арабски которые этот да арабисты вот они арабисты между собой и собирались они даже из других сёл тоже Дахадаевского района так .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,right,non_kinship,one-word,селение,non_human,definite,sg,multi-word,other,Могилёвской области,Она изучала этот кто погиб охраняя это защищая их родину это место селение Сухари Могилёвской области .
1940,1940_Jangikent,Jangikent,Turkic,f,higher,<1950,right,kinship,multi-word,брат,kinship,definite,sg,multi-word,hnew_ggiven,отца,Тридцать девятых деда вот его сына старшего брата моего отца репрессировали .
1942,1942_Shalib,Shalib,Nakh-Daghestanian,f,lower,<1950,left,kinship,one-word,муж,proper_human,definite,sg,multi-word,hnew_ggiven,Надежды,Вот это Гусейнов Магомед вот Надежды Артёмовны муж у нас жил .
1942,1942_Shalib,Shalib,Nakh-Daghestanian,f,lower,<1950,left,kinship,one-word,племянник,kinship,definite,sg,multi-word,hnew_ggiven,бабушки,Один председатель был моей бабушки племянник .
1942,1942_Shalib,Shalib,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,multi-word,год,non_human,definite,non_sg,one-word,other,жизни,семьдесят шестом году жизни .
1942,1942_Shalib,Shalib,Nakh-Daghestanian,f,lower,<1950,right,non_kinship,one-word,долгожитель,non_human,definite,sg,one-word,other,Дагестана,Долгожитель чтобы он был Дагестана .
1942,1942_Shalib,Shalib,Nakh-Daghestanian,f,lower,<1950,left,non_kinship,one-word,люди,non_human,definite,non_sg,multi-word,hnew_ggiven,возраста,Патима её возраста люди
1942,1942_Ubeki,Ubeki,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,one-word,директор,non_human,definite,sg,one-word,other,школы,. . . было у директора школы спросить ну сейчас .
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,kinship,one-word,бабушка,kinship,definite,sg,multi-word,hnew_ggiven,жены,этой Шахмар Омаровича жены бабушка
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,kinship,multi-word,двоюродный брат,kinship,definite,sg,multi-word,hnew_ggiven,мамы,Вот один единственный это моей мамы двоюродный брат мулла который щас молится плачет
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,kinship,one-word,дочка,proper_human,definite,sg,one-word,hnew_ggiven,Пасихата,она же говорит Пасихата дочка .
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,kinship,multi-word,жена,proper_human,definite,sg,multi-word,hnew_ggiven,Шахмар Омаровича,этой Шахмар Омаровича жены бабушка
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,non_kinship,one-word,инструктор,non_human,definite,sg,one-word,other,райкома,такие молчаливые сидели и этот приехал инструктор райкома
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,non_kinship,one-word,кафедра,non_human,definite,sg,multi-word,hnew_ggiven,филиала,он еще зав . кафедрой Дербентского филиала тоже заодно .
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,non_kinship,multi-word,организация,non_human,definite,sg,one-word,other,школы,она была секретарем комсомольской организации школы
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,non_kinship,one-word,председатель,non_human,definite,sg,one-word,other,колхоза,председатель колхоза Самедов
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,non_kinship,one-word,секретарь,non_human,definite,sg,multi-word,hnew_ggiven,организации,она была секретарем комсомольской организации школы
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,non_kinship,one-word,цена,non_human,definite,non_sg,multi-word,other,литературы,Тогда не знали цену этой литературы . Он
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,kinship,one-word,дядя,proper_human,definite,sg,one-word,hnew_ggiven,Султана,Еще этот дядя Султана
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,right,kinship,one-word,родственник,kinship,definite,sg,multi-word,hnew_ggiven,мужа,Приехал вот родственник моего мужа он получается
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,non_kinship,one-word,девочки,non_human,definite,sg,multi-word,other,семьи,а я этим нашим знакомым людям сказала : арчибские девочки особенно ихней семьи девочки никому не выдают . Ты что ?
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,non_kinship,one-word,люди,non_human,definite,non_sg,multi-word,hnew_ggiven,возраста,вот многие вот вот моего возраста люди . . . девушки конечно выходили вот так как родители сказали так .
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,non_kinship,one-word,учителя,non_human,definite,non_sg,multi-word,other,возраста,в возрасте люди были они все равно работали в школе . Вот такого возраста учителя у нас не были .
1946,1946_Archib,Archib,Nakh-Daghestanian,f,higher,<1950,left,non_kinship,one-word,человек,non_human,definite,non_sg,multi-word,other,рода,Да . Именно за этого человека . Что у него такой тухум вот он такого рода человек .
1946,1946_Rikvani,Rikvani,Nakh-Daghestanian,m,higher,<1950,right,non_kinship,multi-word,пастбища,non_human,definite,sg,one-word,other,кочубейской зоны,Бабаюртовские пастбища кочубейской зоны .
