file,источник,position,head_lexical_class,gen_lexical_class,gen_length,gen_referentiality,gender,head,gen,line,Right context,comment
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,kinship,kinship,multi-word,definite,m,жена,брата,Она была у нас старшего… самого старшего брата / жена.,,
"[Домашний разговор // Из коллекции НКРЯ, 2005]",домашний разговор-new,left,kinship,proper_human,multi-word,definite,,племянница,Коли,А / по-моему / второго сына не было и жены его не было.   Этого / Коли Павлова племянница.   Я ее знаю хорошо.,,
"[О поступлении в вузы // Из материалов Ульяновского университета, 2006]",домашний разговор-old,left,kinship,proper_human,multi-word,definite,,сын,Руфии Амировны,И вот Газаятдинов / ты знаешь / нет Руфии Амировны сына?,,
"[Воспоминания о прошлом М. Миртова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,left,non_kinship,proper_human,multi-word,definite,m,вечер,Феофанны,"Садимся / за стол / встаёт / Михал Михалч Климов  / и говорит ""дорогие друзья / я очень рад что вы пришли ко мне / разделить мой / и Лизаветы Феофанны / это его жена Скульская / значит наш вечер /  э-э… я хочу выпить за ваше здоровье"".",,просторечие
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,left,kinship,kinship,one-word,definite,m,сестра,мужа,"Ну а нет / дак что ж"".       У нас-то вот / мужа сестра.      И хлобыснул эту всю кружку / а мы сидим на него смотрим.",,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,kinship,kinship,one-word,definite,f,отец,дедушки,Вот дедушкин отец / мне говорил / отец / мой / что дедушки отец / был дьяконом.,,
"[Разговор матери с дочерью о родственниках // Из коллекции НКРЯ, 2007]",домашний разговор-new,left,kinship,proper_human,one-word,definite,,двоюродный брат,Вована,Я там солью / это самое / перец немножко / ну что-то можно было съедобное чё-то / пахло.      А что / невкусно / если без чеснока?      Ну я не знаю / она додумала / наверно / я не так… так не делала / я так и ела / вроде бы / знаешь у кого ела в первый раз / в Первомайске / э… Вована двоюродный брат / братишка / такая ну… Валька же… жена.,,
"[Домашний разговор // Из коллекции НКРЯ, 2005]",домашний разговор-new,left,kinship,proper_human,one-word,definite,,жена,Женьки,А вот этого я не знаю.   Наверно / одна / без детей / наверно.   Потому что была эта / как ее / Женьки жена.,,
"[Разговор матери с дочерью по телефону // Из коллекции НКРЯ, 2015]",домашний разговор-old,left,kinship,proper_human,one-word,definite,f,дочка,Выборнова,А мы потом пошли все.   Ну там пели девчонки.   Хорошо поёт Выборнова дочка так.,,
"[В медпункте // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,left,non_kinship,proper_human,one-word,definite,,,Игоря,Не знаю / Игоря учительница / по физике / она мне говорит / покажите Игоря психологу / чем а раньше тем лучше Мы с Ленкой идём / разговариваем // Я ёй говорю мне так и так сказали / она мне грит пусть она сама к си… к психологу обратиться // грит нормальный ребёнок //,,
"[Домашние разговоры // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,left,non_kinship,proper_human,one-word,definite,m,,Игоря,Я видел… как аккуратно //  А где Игоря справка?,,
2019-Zvenigorod-om1973,звенигород,left,non_kinship,human_other,multi-word,non_definite,известно,фотографии,девушек красивых,Потом у нас Краснов любил,там красивых поставить фотографии.,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,non_kinship,non_human,multi-word,non_definite,m,люди,ума,И я / за всю свою практику / вот всё время / сталкиваюсь с массой таких вот историй / как люди гибнут / причём великолепные / светлейшей вообще / души / и ума / люди.,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,left,non_kinship,non_human,multi-word,non_definite,f,симфонии,плана,Первую Бетховена / ну это всё такие более камерного плана симфонии / вот мы с ними играли.,,
2019-Zvenigorod-oa1975,звенигород,left,non_kinship,non_human,multi-word,non_definite,известно,стены,такого бордового цвета,Такого бордового,"стены там, чёрная мебель, вот такие люстры дорогие, вот примерно она рисовала, вот где как что стоит.",
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,non_kinship,non_human,one-word,non_definite,f,музей,почтамта,Музей / почтамта у них есть музей там.,,
"[Разговор знакомых  // Из материалов Ульяновского университета, 2007]",домашний разговор-old,left,non_kinship,non_human,one-word,non_definite,f,кальций,глюконата,А я потом вприпрыжку побежала / побежала в аптеку / купила там таблетки рыбьего жира и кальция глюконата.,,
"[О компьютере // Из материалов Ульяновского университета, 2006]",домашний разговор-old,left,non_kinship,non_human,multi-word,non_definite,,драйвер,платы,Вот  сетевой платы / зайди в драйвер / что он пишет?,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,left,non_kinship,proper_human,one-word,definite,f,,Шумана,Шуберта играли.   Шумана даже четвёртую симфонию играли.   Ну вот.,,
"[Воспоминания о прошлом А. Серова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,human_other,multi-word,definite,m,дети,короля,он посмотрел всё это / мне Юра  / снял ксерокс / это не… только не то чтобы же… а раньше ещё / снял ксерокс / и мы послали / туда вот в Америку / м-м потому что в ихней семье / ещё есть / такая легенда / что они /  незаконные дети шведского короля.,,
"[Воспоминания о прошлом М. Миртова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,kinship,human_other,multi-word,definite,m,внучка,основательницы,Короче говоря / м-м э с… самое смешное / что я потом подружилась / училась вместе / это моя была близкая подруга / м-м… внучка этой вот / основательницы,,просторечие
"[Беседа с массажисткой // Из материалов Санкт-Петербургского университета, 2006]",домашний разговор-old,right,kinship,human_other,multi-word,definite,f,родоначальница,детишек,Я говорю / «Да!»   Я родоначальница этих детишек.   Ну вот.,,
2019-Zvenigorod-om1973,звенигород,right,kinship,human_other,multi-word,definite,известно,дочка,начальника отдела ,Дочка,отдела.,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,human_other,multi-word,definite,f,письмо,учителей,Ну и я помню последнее было решение о сносе / вот по / письму вот этих учителей / уже когда восстановили / м-м… э-э… весь объём уже восстановили / и оставались /,,
"[Воспоминания о прошлом Р. Мочаловой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,human_other,multi-word,definite,f,глаза,женщины,У него / вс… весь комизм / состоит / в том / что он передаёт э… это как бы глазами этой женщины.,,
"[Воспоминания о прошлом Р. Мочаловой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,human_other,multi-word,definite,f,глаза,женщины,Э… это вот р… рассказ Райкина / вот с-с… как бы с обратной съёмки / всё гл… глазами этой женщины.,,
"[Телефонный разговор подруг о съемках фильма // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,human_other,multi-word,definite,f,мир,вампиров,а девушки/ я так поняла/ мы одно семейство вот аа потустороннею… из потустороннего мира вот этих вот вампиров.,,
"[Разговоры студентов о досуге // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,human_other,multi-word,definite,,черта,детишек,Хорошо скрывать истину – тоже типичная черта детишек-индиго?,,
